"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","should return Hello world! From [name] when name is provided in header","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","POST /hello","",""
"","6","returns the hello world message","","Wed Jan 07 16:08:08 UTC 2026","passed","Wed Jan 07 16:08:08 UTC 2026","","getGreeting","",""
"","29","responds with Hello world","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","E2E GET /hello","",""
"","21","should return Hello world","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","GET /hello","",""
"","2","should return Hello world","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","POST /hello","",""
"","0","returns the hello world message with name when name is provided","","Wed Jan 07 16:08:08 UTC 2026","passed","Wed Jan 07 16:08:08 UTC 2026","","getGreeting","",""
"","3","responds with Hello world! From [name] when name is provided","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","E2E GET /hello","",""
"","3","responds with Hello world! From [name] when name is provided in header","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","E2E POST /hello","",""
"","3","responds with Hello world","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","E2E POST /hello","",""
"","4","should return Hello world! From [name] when name is provided","","Wed Jan 07 16:08:09 UTC 2026","passed","Wed Jan 07 16:08:09 UTC 2026","","GET /hello","",""
